"notification
[ˌnoʊ.t̬ə.fəˈkeɪ.ʃən]"	핵심 뜻: 알림 / 통지
"open-source
[ˌoʊ.pən ˈsɔːrs]"	핵심 뜻: 오픈소스의
"password-protected
[ˈpæsˌwərd prəˈtɛktɪd]"	핵심 뜻: 비밀번호로 보호된
"platform
[ˈplæt.fɔːrm]"	핵심 뜻: 플랫폼 / 기반 서비스
"plugin
[ˈplʌɡ.ɪn]"	핵심 뜻: 플러그인
"podcast
[ˈpɑːd.kæst]"	핵심 뜻: 팟캐스트
"pop-up
[pɑːp]"	핵심 뜻: 팝업 창
"privacy
[ˈpraɪ.və.si]"	"핵심 뜻: 사생활 보호
구분: privacy=개인 정보와 사적 영역 보호 / security=시스템 안전"
"public-facing
[ˈpəblɪk ˈfeɪsɪŋ]"	핵심 뜻: 외부 공개용의
"query
[ˈkwɪr.i]"	"핵심 뜻: 검색 질의 / 질의
구분: query=정보를 얻기 위한 질의 / question=질문 일반"
"real-time
[ˈriː.əl.taɪm]"	핵심 뜻: 실시간의
"searchable
[ˈsɝːtʃ.ə.bəl]"	핵심 뜻: 검색 가능한
"server
[ˈsɝː.vɚ]"	"핵심 뜻: 서버
구분: server=요청을 처리해 주는 시스템 / platform=서비스 기반"
"shareability
[ˌʃer.əˈbɪl.ə.t̬i]"	핵심 뜻: 공유 용이성 / 퍼뜨리기 쉬움
"software
[ˈsɑːft.wer]"	핵심 뜻: 소프트웨어 / 프로그램
"spam
[spæm]"	핵심 뜻: 스팸
"streaming
[ˈstriː.mɪŋ]"	핵심 뜻: 스트리밍
"subscribe
[səbˈskraɪb]"	핵심 뜻: 구독하다
"tag
[tæɡ]"	핵심 뜻: 태그
"template
[ˈtem.plət]"	핵심 뜻: 템플릿
"thumbnail
[ˈθʌm.neɪl]"	핵심 뜻: 썸네일
"traceable
[ˈtreɪ.sə.bəl]"	"핵심 뜻: 추적 가능한
구분: traceable=경로나 출처를 따라 확인 가능함 / trackable=움직임을 추적할 수 있음"
"upload
[ʌpˈloʊd]"	"핵심 뜻: 업로드하다 / 올리다
구분: upload=로컬 자료를 온라인으로 올림 / download=온라인에서 내려받음"
"user-generated
[ˈjuzər ˈʤɛnərˌeɪtɪd]"	핵심 뜻: 사용자 제작의
"virtual
[ˈvɝː.tʃu.əl]"	핵심 뜻: 가상의 / 온라인상의
"web-based
[ˈwebˌbeɪst]"	핵심 뜻: 웹 기반의
"wireless
[ˈwaɪr.ləs]"	핵심 뜻: 무선의
"zoomable
[ˈzuː.mə.bəl]"	핵심 뜻: 확대·축소 가능한
"file-sharing
[ˈfaɪl ˌʃer.ɪŋ]"	핵심 뜻: 파일 공유
"link-sharing
[lɪŋk ˈʃɛrɪŋ]"	핵심 뜻: 링크 공유
"scrolling
[skroʊl]"	핵심 뜻: 스크롤하며 넘겨보기
"webinar
[ˈweb.ə.nɑːr]"	핵심 뜻: 웨비나
"auto-save
[ˈɔtoʊ seɪv]"	핵심 뜻: 자동 저장
"cross-post
[ˈkrɑːs.poʊst]"	"핵심 뜻: 여러 플랫폼에 같이 올리다
구분: cross-post=여러 플랫폼에 함께 게시함 / repost=다시 올림"
"dataset
[ˈdeɪ.t̬ə.set]"	"핵심 뜻: 데이터셋
구분: dataset=분석용으로 묶은 데이터 집합 / database=저장·검색용 데이터 구조"
"acclimate
[ˈæk.lə.meɪt]"	"핵심 뜻: 적응하다
구분: acclimate=새 환경에 익숙해지다 / adapt=변화에 맞춰 조정하다"
"activation
[ˌæk.təˈveɪ.ʃən]"	핵심 뜻: 활성화
"amplifier
[ˈæm.plə.faɪ.ɚ]"	핵심 뜻: 증폭 요인
"anatomical
[ˌæn.əˈtɑː.mɪ.kəl]"	핵심 뜻: 구조상의 / 해부학적
"biosphere
[ˈbaɪ.oʊ.sfɪr]"	핵심 뜻: 생물권
"calibration
[ˌkæl.əˈbreɪ.ʃən]"	"핵심 뜻: 보정
구분: calibration=측정 기준을 다시 맞춤 / adjustment=세부를 조정함"
"camouflage
[ˈkæm.ə.flɑːʒ]"	핵심 뜻: 위장
"cellular
[ˈsel.jə.lɚ]"	핵심 뜻: 세포 수준의
"coexist
[ˌkoʊ.ɪɡˈzɪst]"	"핵심 뜻: 공존하다
구분: coexist=함께 존재하다 / interact=서로 영향을 주고받다"
"compartment
[kəmˈpɑːrt.mənt]"	핵심 뜻: 구획
"conductive
[kənˈdʌk.t̬ɪv]"	"핵심 뜻: 전도성의 / 전달성이 있는
구분: conductive=열·신호를 잘 전달하는 / permeable=물질이 통과하기 쉬운"
"convergent
[kənˈvɝː.dʒənt]"	핵심 뜻: 수렴하는
"cyclic
[ˈsɪk.lɪk]"	핵심 뜻: 주기적인
"decay
[dɪˈkeɪ]"	"핵심 뜻: 쇠퇴 / 분해되다
구분: decay=서서히 약해지거나 분해됨 / erosion=표면이 깎여 닳음"
"decomposition
[ˌdiː.kɑːm.pəˈzɪʃ.ən]"	"핵심 뜻: 분해
구분: decomposition=구성 요소로 분해됨 / breakdown=작동·구조가 무너짐"
"differentiation
[ˌdɪf.ə.ren.ʃiˈeɪ.ʃən]"	"핵심 뜻: 분화 / 차별화
구분: differentiation=다르게 분화·구별됨 / specialization=특정 역할에 맞게 특화됨"
"dormancy
[ˈdɔːr.mən.si]"	핵심 뜻: 휴면 상태
"downregulate
[ˌdaʊnˈreɡ.jə.leɪt]"	"핵심 뜻: 하향 조절하다
구분: downregulate=작동 수준을 낮추다 / suppress=억제하다"
"encapsulate
[ɪnˈkæp.sjə.leɪt]"	핵심 뜻: 감싸 담다
"equilibrate
[ˌiːˈkwɪ.lə.breɪt]"	"핵심 뜻: 평형을 이루다
구분: equilibrate=평형 상태로 맞춰지다 / balance=균형을 맞추다"
"exogenous
[ɪkˈsɑː.dʒə.nəs]"	"핵심 뜻: 외부에서 온 / 외생적인
구분: exogenous=외부 원인에서 온 / external=바깥의"
"feedback-driven
[ˈfidˌbæk ˈdrɪvən]"	"핵심 뜻: 피드백에 따라 조정되는
구분: feedback-driven=반응을 받아가며 조정되는 / adaptive=상황에 맞게 조정되는"
"flow-through
[fləʊ]"	"핵심 뜻: 흘러 통과하는
구분: flow-through=안으로 들어와 지나가는 흐름의 / retained=안에 남겨진"
"frictionless
[ˈfrɪk.ʃən.ləs]"	핵심 뜻: 마찰이 적은
"gradational
[ɡrəˈdeɪ.ʃən.əl]"	핵심 뜻: 단계적으로 이어지는 / 점층적인
"homeostatic
[ˌhoʊmioʊˈstætɪk]"	"핵심 뜻: 항상성을 유지하는
구분: homeostatic=내부 균형을 유지하려는 / self-regulating=스스로 조절하는"
"hybridize
[ˈhaɪ.brə.daɪz]"	핵심 뜻: 혼합하다
"inflow
[ˈɪn.floʊ]"	핵심 뜻: 유입
"interdependent
[ˌɪn.t̬ɚ.dɪˈpen.dənt]"	"핵심 뜻: 상호의존적인
구분: interdependent=서로 의존하며 연결된 / independent=독립적인"
"microstructure
[ˈmaɪ.kroʊˌstrʌk.tʃɚ]"	핵심 뜻: 미세 구조
"modulator
[ˈmɑʤəˌleɪtər]"	"핵심 뜻: 조절 요인 / 조절 장치
구분: modulator=반응 강도를 조절하는 요인 / regulator=작동 수준을 조정하는 요소"
"niche
[nɪtʃ]"	"핵심 뜻: 특정 자리 / 틈새 역할
구분: niche=특정 환경 안에서 차지하는 자리 / habitat=사는 장소"
"nutrient-rich
[ˈnutriənt rɪʧ]"	핵심 뜻: 영양분이 풍부한
"organismal
[ˌɔːr.ɡəˈnɪz.məl]"	핵심 뜻: 개체 수준의
"oscillation
[ˌɑː.səlˈeɪ.ʃən]"	"핵심 뜻: 진동
구분: oscillation=반복적으로 흔들리는 변동 / fluctuation=불규칙한 오르내림"
"outcompete
[ˌaʊt.kəmˈpiːt]"	"핵심 뜻: 경쟁에서 이기다
구분: outcompete=경쟁에서 더 우세해지다 / dominate=위에서 강하게 앞서다"
"overflow
[ˌoʊ.vɚˈfloʊ]"	핵심 뜻: 넘침
"parameterize
[pəˈræm.ə.t̬ɚˌaɪz]"	"핵심 뜻: 매개변수로 규정하다
구분: parameterize=조건값으로 모형을 규정하다 / specify=구체적으로 지정하다"
"partition
[pɑːrˈtɪʃ.ən]"	"핵심 뜻: 분할하다
구분: partition=기준에 따라 나누어 구획함 / divide=나누다 일반"
"phenotypic
[ˌfiː.noʊˈtɪp.ɪk]"	"핵심 뜻: 겉으로 드러난 특성의
구분: phenotypic=관찰되는 겉특성의 / genetic=유전 정보의"
"photosensitive
[ˌfoʊ.t̬oʊˈsen.sə.t̬ɪv]"	핵심 뜻: 빛에 민감한 / 광반응성의
"plasticity
[plæsˈtɪs.ə.t̬i]"	"핵심 뜻: 가소성 / 변화 가능성
구분: plasticity=조건에 따라 바뀔 수 있는 성질 / flexibility=유연성"
"porosity
[pɔːrˈɑː.sə.t̬i]"	"핵심 뜻: 다공성
구분: porosity=빈틈과 구멍이 많은 성질 / permeability=실제로 통과하기 쉬운 성질"
