publication	"핵심 뜻: 배포용으로 제공되는 인쇄 작품의 사본
부가 뜻: 인쇄물을 발행하는 행위
핵심 느낌: 배포용으로 제공되는 인쇄 작품의 사본 쪽으로 빠르게 잡는 느낌
구분: publication=배포용으로 제공되는 인쇄 작품의 사본 / issue=뜻이 가까우므로 문맥으로 구분 / publishing=뜻이 가까우므로 문맥으로 구분"
release	"핵심 뜻: 판매 또는 공개 전시를 위해 발행된 상품(특히 음반이나 영화)
부가 뜻: 누군가 또는 사물을 해방시키는 행위
핵심 느낌: 판매 또는 공개 전시를 위해 발행된 상품(특히 음반이나 영화) 쪽으로 빠르게 잡는 느낌
구분: release=판매 또는 공개 전시를 위해 발행된 상품(특히 음반이나 영화) / liberation=뜻이 가까우므로 문맥으로 구분 / freeing=뜻이 가까우므로 문맥으로 구분"
reverse	"핵심 뜻: 직접적인 반대 관계
부가 뜻: 기계의 운동을 역전시킬 수 있는 기어
핵심 느낌: 직접적인 반대 관계 쪽으로 빠르게 잡는 느낌
구분: reverse=직접적인 반대 관계 / contrary=뜻이 가까우므로 문맥으로 구분 / opposite=뜻이 가까우므로 문맥으로 구분"
sole	"핵심 뜻: 신발 밑면이나 골프 클럽
부가 뜻: 여러 가자미의 살코기
핵심 느낌: 신발 밑면이나 골프 클럽 쪽으로 빠르게 잡는 느낌
구분: sole=신발 밑면이나 골프 클럽 / fillet of sole=뜻이 가까우므로 문맥으로 구분 / resole=뜻이 가까우므로 문맥으로 구분"
somewhat	"핵심 뜻: 어느 정도
부가 뜻: 적당히 충분한 정도
핵심 느낌: 어느 정도 쪽으로 빠르게 잡는 느낌
구분: somewhat=어느 정도 / slightly=뜻이 가까우므로 문맥으로 구분 / reasonably=뜻이 가까우므로 문맥으로 구분"
submit	"핵심 뜻: 판단이나 고려를 참조하다
부가 뜻: 전에 넣어
핵심 느낌: 대상이나 상황을 판단이나 고려를 참조하다 쪽으로 빠르게 잡는 느낌
구분: submit=판단이나 고려를 참조하다 / subject=뜻이 가까우므로 문맥으로 구분 / state=뜻이 가까우므로 문맥으로 구분"
successor	"핵심 뜻: 다음 순서대로 따라가는 사람
부가 뜻: 어떤 것 또는 누군가를 즉시 대체하는 것 또는 사람
핵심 느낌: 다음 순서대로 따라가는 사람 쪽으로 빠르게 잡는 느낌
구분: successor=다음 순서대로 따라가는 사람 / replacement=뜻이 가까우므로 문맥으로 구분 / heir=뜻이 가까우므로 문맥으로 구분"
survive	"핵심 뜻: 계속 살아라
부가 뜻: (역경 등) 후에도 계속 존재하다
핵심 느낌: 대상이나 상황을 계속 살아라 쪽으로 빠르게 잡는 느낌
구분: survive=계속 살아라 / last=뜻이 가까우므로 문맥으로 구분 / live=뜻이 가까우므로 문맥으로 구분"
transmit	"핵심 뜻: 다른 사람에게 양도하다
부가 뜻: 전송하거나 전송 매체 역할을 하다
핵심 느낌: 대상이나 상황을 다른 사람에게 양도하다 쪽으로 빠르게 잡는 느낌
구분: transmit=다른 사람에게 양도하다 / convey=뜻이 가까우므로 문맥으로 구분 / communicate=뜻이 가까우므로 문맥으로 구분"
ultimate	"핵심 뜻: 궁극적인 / 최종의 / 가장 근본적인
부가 뜻: 순서상 마지막이거나, 여러 층을 거슬러 올라가 가장 깊은 목표·원인·결론에 해당하는
핵심 느낌: 중간 단계를 다 지나 마지막 바닥이나 꼭대기에 닿는 느낌
구분: ultimate=최종적이거나 가장 근본적인 / final=마지막의 / fundamental=근본적인"
